N_unmapped	795269	795269	795269
N_multimapping	19185	19185	19185
N_noFeature	106100	107211	142831
N_ambiguous	1576	174	1
Gm38527	0	0	0
Gm25431	0	0	0
1700030N03Rik	0	0	0
LOC115489054	0	0	0
Ighmbp2	1	1	0
Mrpl21	44	44	0
Mir6984	0	0	0
Cpt1a	26	26	0
Gm36532	0	0	0
Tesmin	0	0	0
Gal	0	0	0
Ppp6r3	9	9	0
Gm23940	0	0	0
n-TAagc9	0	0	0
Lrp5	3	3	0
Gm36672	0	0	0
Gm36608	0	0	0
1810055G02Rik	10	10	0
Gm36787	0	0	0
Kmt5b	21	21	0
Gm16066	4	1	3
Gm51271	0	0	0
Chka	276	275	1
Tcirg1	0	0	0
Ndufs8	109	109	0
Aldh3b1	0	0	0
Gm42059	0	0	0
Gm29846	0	0	0
Unc93b1	15	15	0
Aldh3b3	0	0	0
Aldh3b2	38	38	0
Gm52386	0	0	0
Acy3	0	0	0
Tbx10	0	0	0
Nudt8	5	5	0
Doc2g	0	0	0
Ndufv1	29	29	0
Gstp1	47	47	0
Gstp2	5	5	0
Gstp3	13	13	0
Gm42060	0	0	0
Cabp2	0	0	0
Cdk2ap2	99	99	0
Pitpnm1	4	17	1
Aip	76	75	15
Tmem134	161	160	1
Cabp4	8	8	0
Gpr152	0	0	0
Coro1b	38	38	0
Ptprcap	0	0	0
Rps6kb2	2	2	0
Carns1	0	0	0
Gm17552	2	0	2
Tbc1d10c	0	0	0
Ppp1ca	15	64	6
Rad9a	0	6	49
Gm30082	0	0	0
LOC102631992	7	4	3
Clcf1	33	33	0
Gm45928	0	0	0
Pold4	0	0	0
Ssh3	4	4	0
Mir6985	0	0	0
Ankrd13d	4	4	0
Grk2	4	4	0
Kdm2a	12	12	0
9430078G10Rik	0	0	0
Rhod	4	4	0
A930001C03Rik	0	0	1
Syt12	0	1	0
2010003K11Rik	0	0	0
Pcx	25	25	0
Lrfn4	10	10	0
Rce1	13	13	0
Mir6986	0	0	0
Gm960	3	3	0
Sptbn2	1	1	0
Gm42061	6	6	0
Gm21992	3	0	3
Rbm4b	21	21	0
Rbm4	0	0	0
