N_unmapped	693923	693923	693923
N_multimapping	17374	17374	17374
N_noFeature	101467	102127	128917
N_ambiguous	1229	175	1
Gm38527	0	0	0
Gm25431	0	0	0
1700030N03Rik	0	0	0
LOC115489054	0	0	0
Ighmbp2	0	0	0
Mrpl21	19	19	0
Mir6984	0	0	0
Cpt1a	28	28	0
Gm36532	0	0	0
Tesmin	0	0	0
Gal	0	0	0
Ppp6r3	16	16	0
Gm23940	0	0	0
n-TAagc9	0	0	0
Lrp5	0	0	0
Gm36672	0	0	0
Gm36608	1	1	0
1810055G02Rik	7	7	0
Gm36787	0	0	0
Kmt5b	5	5	0
Gm16066	2	0	2
Gm51271	0	0	0
Chka	275	274	1
Tcirg1	0	0	0
Ndufs8	25	25	0
Aldh3b1	3	3	0
Gm42059	0	0	0
Gm29846	0	0	0
Unc93b1	14	14	0
Aldh3b3	0	0	0
Aldh3b2	26	26	0
Gm52386	0	0	0
Acy3	0	0	0
Tbx10	0	0	0
Nudt8	5	5	0
Doc2g	0	0	0
Ndufv1	19	19	0
Gstp1	22	22	0
Gstp2	0	0	0
Gstp3	13	13	0
Gm42060	0	0	0
Cabp2	0	0	0
Cdk2ap2	98	98	0
Pitpnm1	5	18	1
Aip	20	20	14
Tmem134	134	134	0
Cabp4	0	0	0
Gpr152	0	0	0
Coro1b	27	27	0
Ptprcap	3	3	0
Rps6kb2	8	8	0
Carns1	0	0	0
Gm17552	0	0	0
Tbc1d10c	0	0	0
Ppp1ca	20	85	3
Rad9a	0	3	65
Gm30082	0	0	0
LOC102631992	3	3	0
Clcf1	53	53	0
Gm45928	0	0	0
Pold4	0	0	0
Ssh3	2	2	0
Mir6985	0	0	0
Ankrd13d	0	0	0
Grk2	28	28	0
Kdm2a	24	24	0
9430078G10Rik	0	0	0
Rhod	6	6	0
A930001C03Rik	0	0	0
Syt12	1	0	1
2010003K11Rik	2	0	2
Pcx	0	0	0
Lrfn4	0	0	0
Rce1	28	28	0
Mir6986	0	0	0
Gm960	0	0	0
Sptbn2	2	2	0
Gm42061	4	4	0
Gm21992	1	0	1
Rbm4b	62	62	0
Rbm4	0	0	0
Rbm14	4	4	0
Ccs	6	6	0
Ccdc87	0	0	0
Ctsf	9	9	0
Actn3	0	0	0
Zdhhc24	2	1	1
Bbs1	0	0	0
Dpp3	0	0	0
Peli3	1	0	1
Mrpl11	11	11	0
Npas4	3	1	2
Slc29a2	0	0	0
Gm30581	1	1	0
n-TSgct6	0	0	0
B4gat1	2	2	0
Brms1	12	12	0
Rin1	8	8	0
Cd248	0	0	0
Tmem151a	2	0	2
Yif1a	26	26	0
Cnih2	0	0	0
Rab1b	5	5	0
Klc2	3	3	0
LOC115489018	0	0	0
Gm30840	0	0	0
Pacs1	3	3	0
Sf3b2	51	51	0
Gal3st3	1	0	1
Gm42064	0	0	0
Catsper1	0	0	0
Cst6	0	0	0
Banf1	34	30	4
Eif1ad	44	44	0
Sart1	2	1	1
D330050I16Rik	5	0	5
Tsga10ip	0	0	0
4930481A15Rik	81	8	74
Drap1	75	76	0
AI837181	10	10	0
Fosl1	0	127	0
Ccdc85b	37	5	159
Fibp	29	29	0
Ctsw	2	1	1
Efemp2	0	0	0
Mus81	0	0	0
Cfl1	222	222	0
Snx32	8	8	0
1700020D05Rik	0	0	0
Ovol1	31	30	1
Ap5b1	0	0	0
Rnaseh2c	19	19	0
Kat5	10	9	1
